reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
AIW7LB9BWWSSK,B003ITY90M,Sharrell Cooper,"[0, 0]",I don't use the color green that much but it glows awesomely green in the dark and its great because it doesn't use a battery pack because its so you don't have to worry about changing batteries.,5.0,Great 360 controller,1353801600.0,"11 25, 2012"
A1EBNV0X658TQE,B001T4URXG,Truthful,"[0, 0]","This is a great candy mold. I used it in 2012 for making Holiday Raw Chocolate squares with berry and cherrys. Greatproduct for use, and it's very durable.",5.0,Truthful,1374278400.0,"07 20, 2013"
A1PLN9Z1OLX71N,B008SH86VC,patriciakramer,"[0, 0]","This Dyson has replaced a canister model vacum which died after nearly 20 years use. I hated dragging that thing around! The Dyson found a convenient space to hang for easy availability. I have two dogs: one large the other small both are long haired and shed constantly. Because I live in a small cottage this light weight vacum is just right for me. Probably the best plan will be to vacum daily since the battery has a limited consistent use time, dog hair requiring lots of run time! It would also be helpful if a small but adequate tool pack was included with the Dyson supplying screw driver (to remove the roller so as to remove hair) small scissors (to cut imbedded hair on the roller) and tweezers ( to get stuff out of small places).",5.0,Small cottage....,1361664000.0,"02 24, 2013"
A29VOXYNYSHU4O,0517209772,Paul Snow,"[8, 46]","Asimov mostly gives pretty standard skeptic views of the Biblical texts.He commits all of the typical errors of such skeptics.  For example, he gives an analysis of the resurrection of Jesus as an event that rests on the witness of a few women.  Never mind that the texts of those accounts are contradictory and contradictory between the Gospels, and the one quoted by Asimov is actually missing from the earliest manuscripts.A true analysis would never draw historical conclusions from passages that are unlikely to have been part of the original texts. Any research at all would have avoided such a gaff.  Heck, my own study Bible points out that these passages are missing from the earliest manuscripts.Furthermore, Asimov's guide treats the Bible as a single book.  And yet the Bible is a collection of books written over at least 800 years by 60 or more authors.  Heck, even what books should be included are not universally understood across various groups of Christians.  Catholics include 7 more books that western protestants. See [...]Wouldn't you think that Asimov might have discussed this fact?  Should he not have presented what we understand to be historically factual, and what we understand to be mythical?  Shouldn't his analysis include the observation that even the earliest Christian Writers, such as Saint Augustine doubted the literal interpretations of Genesis?  Or that the oldest books of the collection include Job, a book with four chapters of God lecturing Job that he knows nothing about how the creation of the world was accomplished?  Such insights are completely missing from this ""guide"".And to be fair, many, many groups have used these texts for various purposes.  The very first Christians refused to join any army or police force, based on the pacifist readings of such texts as the Sermon on the Mount found in Matthew chapter 5.  The very first Baptists martyrs died demanding not just religious freedom for their own churches, but religious freedom for Muslims, Jews, and heretics (the common term in the 1600's for atheists).  And of course we have fundamentalism using the texts to oppose abortion, homosexuality, and evolution.  Does Asimov's guide give us insight into how some groups see religious freedom in the texts?  No.  Does he explain the roots of fundamentalism in the texts?  No.  Does he explain the pacifist and peace movements that arise from these texts?  No.A General Guide to the Bible ought to do some of this.  Should discuss how the texts have impacted history.  Should explain how the texts impact the present.  If you really want to understand the Bible in context, this book is useless.So what will you get if you read this ""guide""?  You will get the off the cuff observations of a cynical skeptic who (it seems) went out and bought a Bible, and dashed off many various common, unoriginal skeptic views to a few chosen passages into a very readable and engaging book.What you will not get is a researched, objective, fair, or insightful analysis of a library of religious and non religious texts that have done more to shape western thought, philosophy, and culture than any other collection of writings.  You will not get any discussion about how these texts have been understood historically.  You will not get any discussion about how these texts have driven various institutions such as the Catholic Church, the Protestant denominations, the Greek Orthodox Church, State Churches, etc.  You will not get the arguments for and against religious freedom, as found in these texts.  Or those over creationism.  Or over concepts like the trinity, or baptism, or communion.Really, you just won't get much.",1.0,A Guide for Those Uninterested in Objective Analysis,1357257600.0,"01 4, 2013"
A2190NB4M6MG85,B001KU0LEY,G2 in Gillett PA,"[3, 13]","This arrived through a second party from Amazonshipped quickly and packaged secure, it willmake an excellent Chritmas gift!G2",5.0,Make some music!,1260662400.0,"12 13, 2009"
A33312UJNKHTK0,B00527Y5SE,AmazonAddict1981,"[1, 1]",its cute but it doesn't swing at all. There are other ones that really work well get one of those. This is a dust collector.,1.0,Cool if it worked,1377129600.0,"08 22, 2013"
A3QV1I7I6HLJQM,B006OSO94A,,"[0, 0]",The shoes are great for running and in the gym. They are exactly what I was looking for in a cross trainer.,5.0,Great shoes.,1369094400.0,"05 21, 2013"
AA14JC30P2HGA,B007WCJQU4,Sharon M. Rohr,"[0, 0]",We love Casey Abrams.  The songs here are mostly upbeat and have great lyrics.  We listen to it almost every day while driving.  I wish he had more publicity around this cd because it's very good!,5.0,Love it!,1373155200.0,"07 7, 2013"
A1QSJFGJ09O0L,B00000HZHO,"gmoney ""gmoney""","[0, 0]","Great album, great, full sound.  The best work ever from Riot.  Most of the original band members are dead and really don't see anything like this coming again.  This is about the best 80's rock album, die hard metal heads love this and more mellow rock lovers love this also.",5.0,Awesome,1384473600.0,"11 15, 2013"
APL1S3GGHRBMO,B000065UER,"Wanda Donnelly ""jondon420""","[0, 0]","Anybody that says that 3rd Strike is going to explode on the rock scene, well, too late.  They have already broken up so I don't see that happening anytime soon.  But I'm not saying I didn't like them while they were around. They put on great live shows.  This rap-metal group comes all the way from San Diego.  While this album is very good at being heavy while the leadman lets loose his straight, forceful raps, it lacks in the originality department.  A million bands have tried this before: combining hard rock jams with a MC rapping the vocals.  And a lot of them have gotten very little recognition, such Revielle or the Phunk Junkeez.  3rd Stike pulls this off decently, but still have gotten virtually no recognition.  The cd kicks off kicking ass with Flow Heat, then most of the songs follow the same formula, with the exception of &quot;Redemption&quot; and &quot;Hang On&quot;.  The hardest song on the cd has to be &quot;All Lies&quot; ,which I like a lot.  They also throw in a Black Sabbath cover &quot;Paranoid&quot; which would be a lot more enjoyable without the turntable scratching.  I would say that this is worth the money if it's on sale for 12 bucks or under. It's not bad, but it's not the best rock album out there right now.",3.0,"Same old thing, but still kickin'",1081382400.0,"04 8, 2004"
A2FTHCGH06O4Y5,6301978587,Caraculiambro,"[3, 8]","You'll have tons more respect for Streisand after viewing the goodies on the second disk, but this movie was on the whole a disappointment.At least this time it was.  I saw it when I was a teenager and found it powerfully affecting at the time.  Returning to it as an adult, however, I found my enjoyment stymied since the plot is so far-fetched, the message heavy-handed, and the ending almost a deus ex machina.Still, this movie makes me wish she had helmed more films.",3.0,nothing more than okay,1252454400.0,"09 9, 2009"
ATREL2UKR7I4K,B003XK96FY,Shouvik,"[1, 1]","The item is ""OK"". Its not worth the price however. The material they sent me, is definitely not worith $9.95 !!I can get anything of that quality for 3 - 5 bucks in any NYC cell store.It fits well to the phone, but the edges are not smooth, and they pop out above the edges of the phone, causing it to get stuck in your pocket, everythime you try to bring out or put in the phone.They never send me the ""Go-Green"" band, they are advertising on the page.Overall, poor product, definitely not worth the money. I would have given 4 starts if this has been priced at somewhere around $3.But for $9.95 and the quality of stuff you deliver, its not even worth 2 stars. I just gave 2 stars, as the item is hardy, and doesnt seem that it would break away soon.",2.0,Not worth the price,1290124800.0,"11 19, 2010"
A2IQN6IT5FAYV9,B008RQ2JL2,Bryna F.,"[1, 1]","Gave it to my dog--all 18 pounds of him--about an hour and a half ago. So far he's managed to rip out a bunch of stuffing, and removed and destroyed one of the two squeakers. Another &#34;tough toy&#34; turns out to be a wimp.",1.0,Should have just given my dog the money to chew instead.,1384819200.0,"11 19, 2013"
A2270WBQ1PXI4D,B00AREIAI8,,"[0, 0]",It's nice to play when this game whenever you're bored. I also let my cousin play with it when I'm baby sitting her and it keeps her busy for a long time.,4.0,Great!,1366329600.0,"04 19, 2013"
A3H8U4H8KII1NG,B0090UGFD2,Amazon Customer,"[1, 1]","Just received this purse.  It's not a tote, it will not fit over your shoulder.  The dimensions in the description includes the handles, so be aware.If you are looking for a small bag, this is it.However, if you are looking for a tote in which you can carry your laptop, books, and other things in stay away....stay far away.  I'm returning this today.",2.0,Cute but small,1394064000.0,"03 6, 2014"
ADGIC0VP4N4DC,B00006B753,RK,"[1, 1]",Compact and still available in PS2 format. Happy that it wasn't UBS. Excellent for multi-boot computer.,5.0,Adesso Mini Keyboard,1249516800.0,"08 6, 2009"
A1DOMW7CUS0M9E,B002SN8VLC,ramin farro,"[0, 0]","Piece of junk - flips from side to side, the sound quality is not good either.  Do't waste your money on this - buy a brand name.",1.0,Junk - Doesn't work,1403568000.0,"06 24, 2014"
A2MRO691VB9M6J,B000ER5G6C,Butt-Trusted,"[0, 0]",I have a Series 2 TiVo that I moved away from a lan socket so I needed a wireless G USB connection. With all the newer TiVos out I worried about finding one that would be compatible. This was plug and play all the way. The current OS in the TiVo didn't even blink at the change. The hub is on another floor of the house but the signal is picked up just fine. I'd recommend this to anyone with a Series 2 TiVo! :),5.0,Very Happy,1288569600.0,"11 1, 2010"
A1715C8R60QU7J,B008WWD2QW,Donna Moore,"[2, 2]","This picture is somewhat deceiving. I bought this for the rich teal color it shows,..but in fact the top of the cover (where it is folded down in the pic) above the flowers is all baby blue and black,..not the teal that it appears in the picture.That changed the entire appearance of the cover and didn't match my room,I ended up using the reverse side just so I had something to use. It is also short on the sides not like the picture shows....",3.0,Duvet cover,1374624000.0,"07 24, 2013"
AM8YMBJZXSRVD,B004ICLGV8,W. Dibble,"[0, 0]","Alice Cooper, whether on CD or in person, is one of my favorite artists of all time. When I first heard this version, I was shocked by how well they had done it. Its not better than the original, but it is definitely a worthwhile cover in a completely different style.",5.0,Definitely a different take,1345507200.0,"08 21, 2012"
A2KMLO3U8W3TYE,B000IEH6IW,Dennis L. Stockdale,"[0, 1]","Two scisssors items have some &#34;wobble&#34; in them at the rivit point.  The blades seem to meet and have some tension on thembut I'm accustomed to scissors not having wobble, or at least a screw so I can tighten them rather than a rivit.Otherwise, fine.  At this point.",4.0,Bonsai Tool Set Critique,1367020800.0,"04 27, 2013"
A60SK55Q0J4T1,B003XP25IE,Liz,"[2, 2]","I ordered this because my stomach was in pretty rough shape after two c-sections in a year and a half.Pros - high quality construction and quality materials.  This made me feel more comfortable immediately after putting it on. I've only had it about a week so I can't say much about how well it works yet.Cons - I wish this went higher, the top hits 4-5 inches below my bra and I wish it went right to it because it sometimes folds over on itself.  Also, it can be hard to pull as snug as I want; I feel like I need a third hand.",4.0,Good product!,1358035200.0,"01 13, 2013"
ARR0K1QN4YDGK,B00C10SM7U,T.Sax,"[0, 0]","This is a wonderfully written book that draws you in to the lives of the characters quickly and leaves you wanting to read more. I found it entertaining and inspirational. Would recommend it to Teen, Young Adult, and Adult readers. It would be great for a Youth Group Book Club.",4.0,Absorbing Read,1364947200.0,"04 3, 2013"
A2K2CHOLEUH4RC,B0090AAOUW,Dan the Saxman,"[1, 1]","I use my Note 2 as an MP3 player (I do a one man band show and need backing tracks) and needed a backup MP3 player in case the Samsung should fail.  After searching in the $100.00 or so price range I decided to take a chance with the I9220.  For the price of a decent dedicated MP3 player I like the extra goodies that comes with a smartphone.  I knew it wouldn't be a match for the Note 2, but since I really won't be using it as a phone I wasn't interested in it's 3G and 4G limitations.All I can say is that I'm impressed.  I loaded many of my Note 2 apps from the Google Play Store, which went without a hitch.  So far, no complaints on the headphone jack either, as others have commented on.  For people having a problem I suggest getting an iPhone adapter.  Early iPhones had recessed headphone jacks, and this phone likely requires such a jack.  I modified my jacks when I had an iPhone, so they work well with this phone.  Concerning sound quality out of the headphone jack, my preliminary tests show it has better sound than the Note 2.  I didn't expect that.  I need to do further testing, so don't hold me to this.  The onboard speaker lacks bass, but the volume is good enough.  The onboard camera is pretty bad, but I'm comparing it to the Note 2.Considering I paid over 5x's the price for the Note 2, I am very happy with this phone.  Time will tell if it will hold up, but for me it's just a backup device, so unless it goes bad while stored in a suitcase, it will likely last a very long time.BTW, whoever installed the screen protector did an excellent job.  Better than any I have ever installed.  I really didn't know it was on until I used a pair of strong reading glasses.UPDATE:  I just checked the ""about phone"" section on the phone and see that I got the GT-I9500.  No where does it mention the I9220.  Also, the baseband is MTK6515.  Android version is 4.2.2.  Whatever they call it, it's working great so far.  Lightahead was the seller, fullfilled through Amazon.For a good video describing this phone check: [...] or do a YouTube search for: N9000 DEMO1  My phone (black color) matches the phone shown with the on-off on the right side.  Also, mine didn't come with the ""comprehensive Android manual"" he mentions in the video.Update 10/30/13:  I took off one star for the viewing angle.  When viewing from the front of the camera, which is how I use it as an MP3 player, it's pretty bad.  My Samsung Note 2 kills in this respect, and you can see the difference in screen quality big time in this respect.  After extensive testing I can say for sure the audio chip in this phone is better than my in my ""real"" Note 2.  This has become my primary MP3 player, with the Note 2 being used as a backup.Sorry for not reviewing the phone call capabilities, and all I can say is it does work as a phone, since I tried it with my Note 2 sim card.  In all other respects it continues to work as a dependable device.  Maybe I just got lucky and got one of the ""good ones"".",4.0,Better than expected!,1381795200.0,"10 15, 2013"
A3RNNLABAE8Z2B,030728364X,Patricia Stringer,"[13, 17]","Just when you thought that no Hary Potter Book could ever be as dark as ""The Order of the Phoenix"", J.K. Rowling presents us with ""The Half-Blood Prince"", a story with all the lightness of a lead coffin.While it is neither as plodding nor as cartoonish as its predecessor, this is no beach book.The few light interludes focus on the pleasures and pitfalls of romance--between witches, wizards, werewolves, and part-Veelas.The overarching atmosphere, however, is one of gloom, abounding in vivid descriptions of violence, pain, torture, and general bloodletting.In spite of all this, however, this book pulls off two nearly impossible feats; making readers feel some sympathy for the vile Draco Malfoy and giving them some insight into the grief felt by the earliest readers of Dickens' ""Old Curiosity Shop"" over thedeath of Little Nell.Rowling is often accused of being derivative, and, unfortunately, ""The Half-Blood Prince"" gives those critics plenty of ammunition.  Dumbledore's thought processes owe more to Dr. Pangloss than Merlin; Villains explain their dastardly deeds at James Bond (or Austin Powers) length; and Harry has a bit of dialogue that suggests he is a fan of the film ""Casablanca"".A good book?  Yes.  A great book? Sorry, no. We'll have to wait for the next installment to see if Harry is also a fan of ""High Noon"".  But we'll always have Hogwarts.",3.0,"Here's Looking at you, Harry",1122508800.0,"07 28, 2005"
A1H534MEVBAR9J,B008MBIF7O,debv,"[1, 2]",LOVE CLARK SHOES....GREAT FIT  LOVE THE STYLES...DRESS UP OR DOWN...SPEND ALL DAY IN A PAIR EVERY DAY!  HAVE A CLOSET FULL AND LOVE THEM ALL!!,5.0,CLARK SHOES,1381968000.0,"10 17, 2013"
A1WKEFUHRSE5UI,B0019G2HA0,Bryan Wohltman,"[0, 0]",Sound better than I expected but not great. Crossovers r nice but either built in or seperate would b more convenient instead of dangling from the unit. Also more specs about the crossovers would b nice. They came with 2 adaptor brackets which was nice but neither had the proper mounting holes to fit my mazda. The included foam gasgets were a nice plus. Over all a decent speaker at amazon prices not original retail.,3.0,not bad for the discounted price,1398643200.0,"04 28, 2014"
A382HL6S0S29VE,B0009W5IY2,Bodysolid48,"[0, 0]","I should have reviewed a few more of the tracks before I bought this.  I bought it simple because of the track Bohemian Rhapsody by Constantine.  It is a beautiful rendition and musically faithful, the rest of the tracks, not so much.",2.0,Not what I expected.,1371600000.0,"06 19, 2013"
A1GJHXJZVZ75KW,B005K031OC,Frank Marchesi Jr.,"[0, 0]",this holster fit the LCP like a glove. it fits in your back pocket just like a wallet. i would recamend this to anybody with this gun,5.0,lcp,1376611200.0,"08 16, 2013"
A15M2YPHVGYLL0,B001O21C4G,amy123,"[0, 0]",I ordered this for my vietnam vet dad. It looks very nice he is proud to wear it.,5.0,very happy,1286150400.0,"10 4, 2010"
A1C1DL687CTOHN,B0058XNMOK,Richard Chhangur,"[0, 0]","I bought the same size as a Saucony road shoe I have (11.5) and was a bit upset at how tight (width) this felt initially. I had to wear 'light' drymax socks vs the regular trail socks for a few dozen miles. The shoe eventually stretched after around 15 hrs of trail/ mud/ water use.The small difference between heel and toe was initially a bit of a shock for my calves (hardly wear minimilist shoes) but didn't affect performance for more than a 5 hrs cumulative use.Grips are great for MOST surfaces but, as with many trail shoes, due to the hardness of the rubber, on smooth, wet surfaces aka wet rocks, the grips don't work well at all.WRT durability, the shoe is holding up well up to now but, the little lip at the front of the right shoe came undone a little. It's pretty sad that after decades of making shoes, they can't fix this PROBLEM.For reference, I'm a 155lb, mid foot/heel 'glider' that's light on my feet and have used the shoes up to now for close to 20 hrs total use on moderate to technical trail.",4.0,Initially fit a bit small but stretched after time.,1375401600.0,"08 2, 2013"
AK6TY2CFY5LPF,1616613998,Corbin Sean Robinson,"[0, 0]","Though with the price at only $10 this expansion is worth it for the characters and new playable NPC alone, if you want to use the expansion to the fullest, including all the new lycanthrope adventure cards, you'll have to keep track of a new day and night system that requires you to change the in-game time every round. This can be tedious and, without it, you'll need to either keep most of the new adventure cards separate or discard them whenever drawn. Even if you are willing to keep constant track of when its day and when its night, this doesn't play very well with other expansions, especially the Dragon expansion, so you'll have to chose beforehand which one you want to use.If you buy this expansion, make sure to keep all the new adventure cards separate in case you want to play without these new rules. The new playable NPC, the werewolf, along with the new characters are both fun and can be played to their full effectiveness both with or without the rest of the expansion.",4.0,"The new time rules are very tedious, but new characters and playable NPC are worth the price.",1391126400.0,"01 31, 2014"
A23STUXN3CAWQO,B004773522,Suzanne K. Tiffany,"[0, 0]","When closed, this cup will never spill. I literally fill it up, make sure its locked and THROW it in my work bag. It lasts the subway ride to work and not a drop has come out!",5.0,DOES NOT SPILL!!!,1392854400.0,"02 20, 2014"
A211X3LFPWNG31,B004E8FSGU,Norma Russo,"[0, 0]",My son had seen this over his friend's house and liked it very much that he wanted one.  Came excellently packed also.,5.0,Perfect showcase,1383177600.0,"10 31, 2013"
A2R8VRDTSJIA6M,B008DJIGR4,Zach Allen,"[0, 0]","This case fits the S3 perfectly, is very slim and looks great. This is the best phone case I've ever had, and at this price point, you really can't go wrong.",5.0,"Look no further, this is the case!",1379462400.0,"09 18, 2013"
A3JTIX0IGVCNV0,0988973103,Julie Valerie (Blog: Julie Valerie's Book Blo...,"[0, 0]","Oh, my. Definitely one of my favorite books as I read my way through 52 books in 52 weeks. This book was so stinking charming, I was completely swept away by it. No wonder the book has climbed to the quarter finals in the romance category of the 2013 Amazon Breakthrough Novel Award. (More information: amazon.com/abna) I loved every single moment. The characters were charming, their lives were charming, the town of Saffron Sweeting was charming. It was so charming, I wanted to climb into the pages as I read and live among the characters. I wanted to walk into Grace Palmer's English cottage, ""put the kettle on"" and sit with her and tell her everything will be okay.The richness of the book reminded me a lot of Under the Tuscan Sun by Frances Mayes and the books by Peter Mayle set in Provence. If you love books set in a quirky little town with villagers that stake their claims on the story and a main character that struggles with internal conflict while falling in love with the beautiful but flawed surroundings of a town she haphazardly found her way to, then this is the book for you.Grace Palmer certainly received a punch in the stomach (not literally) in the opening pages when she learns of her husband's affair. But she picks herself up, dusts herself off, and returns to her home country of England only to find herself in the turmoil of changing times in the town of Saffron Sweeting.The people Grace meets in the town of Saffron Sweeting are all so wonderful as characters in a book. Each play a different role in Grace's life and each bring different elements to the storyline. What is so captivating about the story of this town is the mingling of two cultures. An American bio-tech firm is relocating American workers to Saffron Sweeting and the villagers who have always called Saffron Sweeting home are trying to adapt. Because Grace Palmer is the only person in town with insights into both cultures, she is quickly placed in the heart of the small town and must play the role of assistant, consultant and guide.I finished reading this book while on a weekend trip to Boston. I told everyone I saw on this trip about the book, even the passengers sitting on the plane beside me, imploring them to pick up a copy and start reading. It was that enjoyable, from cover to cover.Highly recommended. Run, don't walk. Or better yet, click. A link to Amazon is provided below so go get yourself a copy and cancel your plans for whatever it was you were planning to do over the next few days. You'll want to snuggle up with this book, a cup of tea, a cozy blanket and a comfortable chair. Don't worry, the world will wait for your return.A more complete review of this book and Pauline Wiles can be found on my book blog, Chick Lit Chit Chat found at [...]",5.0,Put the kettle on and start reading!,1367193600.0,"04 29, 2013"
A2Q8EH9Q49V0M7,B001UJMWZ6,"David Baldridge ""Dr Dave""","[0, 0]","Few coasters, good image reproduction. I always mask around the edge and spray a light clearcoat over the print which makes them waterproof. Not water resistant, waterproof: you can hold them under the faucet!",4.0,"I like ""em.",1372204800.0,"06 26, 2013"
A3LNRDTSY7U9C7,1930034512,"Oscar Montalvan ""OSCAR THE CHRISTIAN""","[0, 0]",I COULDN'T HEAR IT ON MY REGULAR CD RADIO OR STEREO COMPONENT. I RETURNED IT. THE LAZARO'S DVD WAS ABOUT PEOPLE'S EXPIRIENCES OF GOING TO HELL OR HEAVEN WHICH CONTRADICT THE BIBLE. NOONE CAN GO TO EITHER PLACE AND COME BACK. ABRAHAM TOLD THE RICH MAN THAT HIS BROTHERS HAD TO BELIEVE THE PROPHETS AND THE WORD AND THAT LAZARO CANNOT GO BACK TO TELL THEM.MANY PEOPLE HAVE PSYCHOLIGICAL NEAR DEATH EXPERIENCES ABOUT WHAT THEY ALREADY KNOW FROM THEIR INTUITIVE MIND OR WHAT THEY HAVE READ OR SEEN IN MOVIES OR WHATEVER.,2.0,NOT WHAT I EXPECTED,1364688000.0,"03 31, 2013"
A2HQVR914YE3SP,B009TCCTSQ,Mills W,"[0, 1]","I dont know why the white edition is $100 cheaper but I am not complaining!! We bought these for christmas presents and the guys went crazy!!! If you need a gift for any age guy and don't really know what to get, this is it. I couldn't believe the response we got for these!!",5.0,wow!!!,1389830400.0,"01 16, 2014"
